stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
BIOT,"Bigeottière",,47.25603225,-1.61950520,,,1,,
BISS,"Bossis",,47.21255094,-1.71290745,,,1,,
BJLI,"Bois Jaulin",,47.17755150,-1.63676530,,,1,,
BJOI,"Beaujoire",,47.25883728,-1.52491336,,,1,,
BLCH,"Blancho",,47.21315742,-1.73496006,,,1,,
BLDR,"Boulodrome",,47.25761056,-1.51532641,,,1,,
BLEM,"Belem",,47.26560128,-1.45299493,,,1,,
BLGO,"Berligout",,47.21575891,-1.67837634,,,1,,
BLL9,"Bellestre",,47.14840161,-1.69433808,,,1,,
BLLE,"Bellestre",,47.14788163,-1.69398472,,,1,,
BLNO,"Bois de La Noé",,47.14174847,-1.67141446,,,1,,
BLOR,"Blordière",,47.17999626,-1.53387635,,,1,,
BLSL,"Bellevue",,47.23531689,-1.47367708,,,1,,
BLUA,"Bélouga",,47.16578619,-1.58345408,,,1,,
BLVU,"Mendès France - Bellevue",,47.20888137,-1.61129103,,,1,,
BLZZ,"Berlioz",,47.23957036,-1.57159634,,,1,,
BNCH,"Blanchetière",,47.28957090,-1.55613290,,,1,,
BNDA,"Brindais",,47.13892388,-1.71817785,,,1,,
BNET,"Bignonnet",,47.17550873,-1.46507941,,,1,,
BNGL,"Bénoni Goullin",,47.20166698,-1.55374813,,,1,,
BNIE,"Bournière",,47.25434645,-1.45535326,,,1,,
BNLU,"Bénélux",,47.25407764,-1.49907802,,,1,,
BNNO,"Bernanos",,47.20615139,-1.61383874,,,1,,
BNON,"Bignon",,47.24906976,-1.59773739,,,1,,
BNTA,"BN",,47.18394985,-1.49666773,,,1,,
BNVI,"Bonneville",,47.24383138,-1.53639001,,,1,,
BOCE,"Centre de Bouguenais",,47.17934886,-1.62289296,,,1,,
BODO,"Bourdonnières",,47.18636418,-1.52227349,,,1,,
BOFA,"Bouffay",,47.21458672,-1.55207692,,,1,,
BOGE,"Bourgeonnière",,47.25293096,-1.56129473,,,1,,
BOLL,"Bois Tillac",,47.20016610,-1.77125450,,,1,,
BOND,"Bonde",,47.22261834,-1.55214517,,,1,,
BORL,"Bourrelière",,47.15832296,-1.49839610,,,1,,
BOSI,"Boissière",,47.25484157,-1.56594630,,,1,,
BOTI,"Boutière",,47.15724315,-1.46807547,,,1,,
BOUE,"Bio Ouest Laënnec",,47.23274192,-1.64186001,,,1,,
BOVR,"Bouvre",,47.17824984,-1.61306130,,,1,,
BPTY,"Boulay Paty",,47.22878936,-1.57661313,,,1,,
BRAG,"Bois Raguenet",,47.26681799,-1.60036703,,,1,,
BRBI,"Bois Robillard",,47.23562598,-1.51988130,,,1,,
BRCH,"Bréchetière",,47.28468489,-1.50366420,,,1,,
BRDI,"Briandière",,47.18971567,-1.69200017,,,1,,
BRET,"Bretonnière",,47.16649341,-1.46284282,,,1,,
BRGA,"Beauregard",,47.21007458,-1.65711631,,,1,,
BRIN,"Brains",,47.17077343,-1.71897431,,,1,,
BRLA,"Brouillard",,47.27314177,-1.51492672,,,1,,
BRLN,"Berlin",,47.21652530,-1.53620574,,,1,,
BRNI,"Baronnière",,47.25961309,-1.60372735,,,1,,
BROS,"Brossais",,47.16244574,-1.58558928,,,1,,
BRTA,"Bretagne",,47.21705960,-1.55816827,,,1,,
BRUN,"Bruneau",,47.22823219,-1.56174387,,,1,,
BRVI,"Boris Vian",,47.15313299,-1.68355615,,,1,,
BSAN,"Bobby Sands",,47.22987817,-1.65299901,,,1,,
BSEJ,"Beauséjour",,47.23790622,-1.58609440,,,1,,
BSNI,"Bussonnière",,47.26893398,-1.44304197,,,1,,
BSOL,"Beau Soleil",,47.17750946,-1.64434611,,,1,,
BSTI,"Bastière",,47.14842367,-1.45938828,,,1,,
BSYS,"Bois St-Lys",,47.30036359,-1.48189547,,,1,,
BTAI,"Bretinais",,47.22169090,-1.66572061,,,1,,
BTEC,"Bretéché",,47.22527984,-1.54859179,,,1,,
BTIE,"Bottière",,47.24020203,-1.51834929,,,1,,
BTLE,"Bouteillerie",,47.22167985,-1.54279106,,,1,,
BTRA,"Bertrand",,47.25711247,-1.57561327,,,1,,
BUGA,"Bugallière",,47.25995025,-1.63763499,,,1,,
BULA,"Butte des Landes",,47.16076921,-1.49376737,,,1,,
BUON,"Bougon",,47.17417687,-1.61064343,,,1,,
BUSS,"Buisson",,47.26059303,-1.48740624,,,1,,
BVDI,"Bouvardière",,47.23847274,-1.59835826,,,1,,
BVER,"Bouvernière",,47.23804554,-1.61143388,,,1,,
BVOI,"Beauvoir",,47.17845634,-1.63053247,,,1,,
BYCE,"Centre de Bouaye",,47.14388390,-1.69167323,,,1,,
BYGA,"Gare de Bouaye",,47.13837338,-1.68081570,,,1,,
BYTO,"Bouaye Coteaux",,47.16476681,-1.67884284,,,1,,
BZAR,"Buzardières",,47.20724093,-1.65960913,,,1,,
CABR,"Cabrol",,47.20324625,-1.58857707,,,1,,
CACE,"Centre de Carquefou",,47.29715641,-1.49011230,,,1,,
CADO,"Cadoire",,47.25669966,-1.48803124,,,1,,
CAGE,"Chalonges",,47.27612420,-1.42938349,,,1,,
CAHL,"Charlière",,47.32099898,-1.55053953,,,1,,
CAIO,"Caillou Blanc",,47.29863428,-1.58555213,,,1,,
CALI,"Californie",,47.19118595,-1.58437353,,,1,,
CANC,"Canclaux",,47.21382341,-1.57487080,,,1,,
CAPE,"Capellia",,47.27966415,-1.55494667,,,1,,
CARQ,"Carquefou",,47.30366616,-1.48556734,,,1,,
CAST,"Castorama",,47.25911844,-1.50830189,,,1,,
CATI,"Cartier",,47.26819144,-1.45548738,,,1,,
CAUX,"Château D'Aux",,47.18533626,-1.67452748,,,1,,
CBAC,"Bac de Couëron",,47.20597064,-1.75168385,,,1,,
CBEA,"Charbonneau",,47.30061666,-1.49078782,,,1,,
CBGE,"Chapeau Berger",,47.17100668,-1.46880907,,,1,,
CBIN,"Corbinerie",,47.16145583,-1.54220535,,,1,,
CBLE,"Chemin Bleu",,47.17832624,-1.52510876,,,1,,
CBOU,"Couëron Bougon",,47.22506648,-1.73399163,,,1,,
CBRD,"Claude Bernard",,47.22315508,-1.61191215,,,1,,
CBSS,"Cambronne",,47.20659509,-1.50644162,,,1,,
CBTE,"Choblèterie",,47.13620044,-1.46140357,,,1,,
CCAN,"Couchant",,47.26847489,-1.59958532,,,1,,
CCDI,"Cochardières",,47.22990886,-1.63316935,,,1,,
CCHA,"Couchant",,47.27008073,-1.51386855,,,1,,
CCOU,"Champ de Courses",,47.24497900,-1.56190805,,,1,,
CCRE,"Chêne Creux",,47.17044546,-1.54874976,,,1,,
CDAN,"Chêne des Anglais",,47.26148801,-1.57364467,,,1,,
CDCO,"Cité des Congrès",,47.21369956,-1.54499751,,,1,,
CDMA,"Champ de Manoeuvre",,47.27268148,-1.50071227,,,1,,
CECE,"Centre de La Chapelle",,47.29898849,-1.54860815,,,1,,
CEDR,"Cèdre",,47.29942778,-1.56023658,,,1,,
CEER,"Chapellerie",,47.28289489,-1.42313762,,,1,,
CEGA,"Gare de La Chapelle",,47.29576796,-1.54908483,,,1,,
CELL,"Le Cellier",,47.32675016,-1.34798953,,,1,,
CFOI,"Champ de Foire",,47.12459673,-1.61854418,,,1,,
CGAU,"Cimetière Gaudinière",,47.24288044,-1.58286983,,,1,,
CGLA,"Chêne Gala",,47.18391435,-1.53978876,,,1,,
CHAB,"Chabossière",,47.21546527,-1.68240750,,,1,,
CHBE,"Chambelles",,47.23161715,-1.53061056,,,1,,
CHER,"La Cochère",,47.20040279,-1.77827764,,,1,,
CHFL,"Champ Fleuri",,47.14377598,-1.52470273,,,1,,
CHGN,"Châtaigniers",,47.22211119,-1.60293615,,,1,,
CHIN,"La Chesnaie",,47.28165823,-1.53757532,,,1,,
CHLI,"Cholière",,47.25098754,-1.60669625,,,1,,
CHME,"Charmes",,47.19079150,-1.46098179,,,1,,
CHNI,"Charbonnière",,47.26382351,-1.64175612,,,1,,
CHOC,"Chocolaterie",,47.24286169,-1.52768364,,,1,,
CHPO,"Champonnière",,47.16351310,-1.50567160,,,1,,
CHRE,"Chalâtres",,47.23183910,-1.53781442,,,1,,
CHSS,"Chaussée",,47.17722856,-1.52203905,,,1,,
CHTE,"Châtelets",,47.19715591,-1.54056547,,,1,,
CHVE,"Chauvais",,47.33738693,-1.57165015,,,1,,
CHZY,"Chanzy",,47.22413498,-1.54487952,,,1,,
CIGL,"Chai Gallais",,47.13698899,-1.72155075,,,1,,
CIVL,"Circuit du Vallon",,47.27363527,-1.44740366,,,1,,
CJOS,"Cimetière St-Joseph",,47.26817169,-1.52156934,,,1,,
CLAM,"Clos Ami",,47.21220411,-1.65565464,,,1,,
CLBO,"Clos Bonnet",,47.19039808,-1.56510979,,,1,,
CLET,"Clétras",,47.25541628,-1.51069583,,,1,,
CLGE,"Chalonges",,47.18914510,-1.47260344,,,1,,
CLMO,"Cimetière La Montagne",,47.18731397,-1.68646817,,,1,,
CLNA,"Colonac",,47.22416455,-1.60315348,,,1,,
CLOT,"Clotais",,47.19299931,-1.71819926,,,1,,
CLPT,"Clépettre",,47.29666417,-1.54704903,,,1,,
CLRO,"Clos Roux",,47.19808920,-1.74953941,,,1,,
CLSE,"Closeaux",,47.23991829,-1.62757083,,,1,,
CLTT,"Châlet",,47.22940844,-1.54450193,,,1,,
CLUE,"Clouet",,47.16747919,-1.51083466,,,1,,
CLZE,"Clouzeaux",,47.17930138,-1.49258742,,,1,,
CMAR,"Cirque - Marais",,47.21804174,-1.55722319,,,1,,
CMCI,"Clémencière",,47.26951472,-1.43550688,,,1,,
CMLL,"Charmille",,47.25715726,-1.60593160,,,1,,
CMNE,"Commune 1871",,47.19931620,-1.49965534,,,1,,
CMOU,"Clos du Moulin",,47.14512489,-1.52113927,,,1,,
CMRA,"Cormerais",,47.19467694,-1.62693406,,,1,,
CMSY,"Carrière Misery",,47.19962278,-1.58087650,,,1,,
CMUS,"Camus",,47.21927146,-1.57283140,,,1,,
CNAV,"Chantiers Navals",,47.20883820,-1.56777879,,,1,,
CNCE,"Chenonceau",,47.27262259,-1.43446126,,,1,,
CNGO,"Congo",,47.23960901,-1.61012231,,,1,,
CNLA,"Canal",,47.21612104,-1.47177202,,,1,,
CNNT,"Chemin Nantais",,47.28868426,-1.43369556,,,1,,
CNON,"Chinon",,47.27412421,-1.42899115,,,1,,
CNTR,"Centaure",,47.16999234,-1.62713035,,,1,,
CNVR,"Chêne Vert",,47.28624641,-1.43945161,,,1,,
COAY,"Corlay",,47.20793294,-1.64411942,,,1,,
COCH,"Cochard",,47.22401276,-1.55051064,,,1,,
COET,"Les Couëts",,47.18074785,-1.58635681,,,1,,
COHO,"Chohonnière",,47.26313506,-1.48600579,,,1,,
COLI,"Colinière",,47.23585910,-1.50834479,,,1,,
COMM,"Commerce",,47.21353376,-1.55621437,,,1,,
CONI,"Corniche",,47.25284244,-1.59473440,,,1,,
CORA,"Conraie",,47.26081602,-1.58823205,,,1,,
COST,"Cousteau",,47.24059032,-1.51311652,,,1,,
COTA,"Coutancière",,47.30616065,-1.56006047,,,1,,
COUD,"Coudray",,47.23213654,-1.54246790,,,1,,
CP3R,"Chapelles",,47.16355510,-1.53849337,,,1,,
CP4L,"Chapelle Laënnec",,47.23533848,-1.63776583,,,1,,
CPER,"Copernic - Musées",,47.21486265,-1.56445904,,,1,,
CPGT,"Capitaine Grant",,47.26175589,-1.66945886,,,1,,
CPRE,"Chaupières",,47.24313524,-1.49503578,,,1,,
CPTE,"Chapelet",,47.13204546,-1.64154386,,,1,,
CQGU,"Chat qui Guette",,47.19194096,-1.69710975,,,1,,
CQLU,"Coqueluchon",,47.18409964,-1.47023778,,,1,,
CRAI,"Clairais",,47.27553905,-1.43855347,,,1,,
CRBE,"Corberie",,47.15203147,-1.52408580,,,1,,
CRCE,"Courocerie",,47.25176134,-1.49934570,,,1,,
CREZ,"Château de Rezé",,47.18480102,-1.55974234,,,1,,
CRME,"Crémetterie",,47.21826224,-1.60831610,,,1,,
CRNO,"Corbon",,47.21334433,-1.46088538,,,1,,
